id,title,count,denominator,percent,meaning,action,severity,master_id,original_id,query,display_id
I01_queue_without_team_calls,Queue runs continue on days without team call logs,9,57,15.79,A missing log is not proof of no work. Call KPIs cannot be used as a productivity verdict after the logging break.,Re-export follow-ups and reconcile logging coverage with source owners.,High,I01,I01_queue_without_team_calls,I01_queue_without_team_calls,I01
I02_missing_amount,Quote totals are missing,9646,9973,96.72,Revenue and monetary product rankings are not supportable. Currency ID 1 has no exported currency-name mapping.,"Obtain populated quote/invoice line totals, currency definitions and revenue recognition rules.",High,I02,I02_missing_amount,I02_missing_amount,I02
I03_missing_trip,Trip dates contain a zero-date placeholder,86,9973,0.86,These quotes disappear from trip-horizon and future-trip cohorts.,Confirm when a trip date is mandatory; backfill from authoritative itinerary data.,High,I03,I03_missing_trip,I03_missing_trip,I03
I05_country_unusable,Country is blank or N/A,75,9973,0.75,"These records cannot be assigned to Australia or New Zealand and are grouped as Unknown by the dashboard. Country is destination, not customer origin.",Validate destination capture and obtain origin-region lookup tables.,High,I05,I05_country_unusable,I05_country_unusable,I04
I07_trip_before_creation,Trip date precedes quote creation date,140,9973,1.4,Historical imports or date errors could explain these records; not automatically invalid sales.,Verify examples against source itineraries and import history.,Medium,I06,I07_trip_before_creation,I07_trip_before_creation,I05
orphan_vtiger_quote_stage_track,Records linked to quotes absent from the export,9154,221070,4.14,Inner joins silently drop these child records.,Reconcile export scope and parent IDs before combining tables.,High,I07,orphan_vtiger_quote_stage_track,orphan_vtiger_quote_stage_track,I06
I08_stage_duplicate_candidates,Possible duplicate stage records,7846,221070,3.55,Candidate duplicate emissions; event counts can inflate. Separate IDs are not proof of distinct business transitions.,Review repeated payloads and define an event idempotency key. Preserve raw logs.,High,I08,I08_stage_duplicate_candidates,I08_stage_duplicate_candidates,I07
I09_followup_duplicate_candidates,Possible duplicate follow-up records,129,25901,0.5,"Candidate duplicates, not proven duplicate conversations: free-text description and contact fields are intentionally excluded.",Inspect candidate records in CRM before deduplication.,Medium,I09,I09_followup_duplicate_candidates,I09_followup_duplicate_candidates,I08
I11_call_outcomes_missing,Calls have no recorded outcome,9626,11698,82.29,"Contact-rate denominator excludes these calls, while call volume includes them.",Measure outcome completeness by agent/time and define a separate unknown-outcome category.,High,I11,I11_call_outcomes_missing,I11_call_outcomes_missing,I09
I12_call_before_creation,Call timestamp precedes quote creation,286,11698,2.44,This can distort first-response time; imports or backdated logs need checking.,Reconcile source timezone and imported quote/call timestamps.,Medium,I12,I12_call_before_creation,I12_call_before_creation,I10
I15_open_past_trips,Open Created/Requote quotes have trips before last quote-record date,51,645,7.91,Stale pipeline candidates as of 10 September; not proof the travel did not occur.,Review disposition and trip rescheduling; do not automatically close records.,Medium,I15,I15_open_past_trips,I15_open_past_trips,I11
I16_large_party_review,Passenger count exceeds empirical 99th percentile,92,9973,0.92,Review candidates above 200 pax; large groups are not inherently errors.,Compare passenger manifest and FIT/Groups classification for the largest cases.,Low,I16,I16_large_party_review,I16_large_party_review,I12
I18_future_call_dates,Call records are dated after the review date,1,11698,0.01,"These are future-dated call_info entries as of 21 September 2026, not completed historical calls.",Check whether scheduled contact was recorded as a completed call.,Medium,I17,I18_future_call_dates,I18_future_call_dates,I13
I19_payment_dates,Payment processing date is missing or invalid,1037,2339,44.34,"Payment-date trends are incomplete; added_on is a record timestamp, not necessarily cash receipt date.",Confirm the payment lifecycle and canonical receipt date before cash-flow reporting.,High,I18,I19_payment_dates,I19_payment_dates,I14
I20_pax_disagreement,Populated no_pax differs from adults + children + infants,1433,6575,21.79,Two passenger measures disagree; no_pax may use a different definition. Dashboard uses adults + children + infants.,Confirm whether infants/free-of-charge passengers belong in each measure before standardizing.,Medium,I19,I20_pax_disagreement,I20_pax_disagreement,I15
I21_country_case,Country uses inconsistent casing,2,9973,0.02,Raw groupings split Australia into two labels; dashboard title-case normalization already combines them.,Standardize the country dictionary upstream.,Low,I20,I21_country_case,I21_country_case,I16
I22_creation_batch,Quote creation timestamps cluster in one second,327,9973,3.28,"327 records share one second, have missing creation actors, and are exactly the only quotes with populated totals. This strongly suggests a batch/import boundary, not an organic demand spike; import provenance is unconfirmed.",Confirm migration history and preserve original creation timestamps before using October 2024 as a trend baseline.,High,I21,I22_creation_batch,I22_creation_batch,I17
I23_acceptance_audit_gap,Current accepted-family quotes lack an Accepted audit event,179,983,18.21,Current state and event history cannot be fully reconciled; the first-observed acceptance series is incomplete.,Obtain full audit history or an authoritative acceptance timestamp before measuring historical sales.,High,I22,I23_acceptance_audit_gap,I23_acceptance_audit_gap,I18
