id,title,count,denominator,percent,meaning,action,severity
I01_queue_without_team_calls,Queue runs continue on days without team call logs,9,57,15.79,A missing log is not proof of no work. Call KPIs cannot be used as a productivity verdict after the logging break.,Re-export follow-ups and reconcile logging coverage with source owners.,High
I02_missing_amount,Quote total is NULL,9646,9973,96.72,Revenue and monetary product rankings are not supportable. Currency ID 1 has no exported currency-name mapping.,"Obtain populated quote/invoice line totals, currency definitions and revenue recognition rules.",High
I03_missing_trip,Trip date is missing or unparseable,86,9973,0.86,These quotes disappear from trip-horizon and future-trip cohorts.,Confirm when a trip date is mandatory; backfill from authoritative itinerary data.,High
I04_missing_owner,Dashboard proxy owner cannot be assigned,7198,9973,72.17,Owner comparisons are incomplete; all assigned owners are approximations rather than authoritative sales ownership.,Export vtiger_quotes_info with effective ownership history.,High
I05_country_unusable,Country is blank or N/A,75,9973,0.75,"These records cannot be assigned to Australia or New Zealand and are grouped as Unknown by the dashboard. Country is destination, not customer origin.",Validate destination capture and obtain origin-region lookup tables.,High
I07_trip_before_creation,Trip date precedes quote creation date,140,9973,1.4,Historical imports or date errors could explain these records; not automatically invalid sales.,Verify examples against source itineraries and import history.,Medium
orphan_vtiger_quote_stage_track,Unmatched quote references in vtiger_quote_stage_track,9154,221070,4.14,Inner joins silently drop these child records.,Reconcile export scope and parent IDs before combining tables.,High
I08_stage_duplicate_candidates,Repeated identical stage-log payloads with different IDs,7846,221070,3.55,Candidate duplicate emissions; event counts can inflate. Separate IDs are not proof of distinct business transitions.,Review repeated payloads and define an event idempotency key. Preserve raw logs.,High
I09_followup_duplicate_candidates,Repeated structured follow-up payloads,129,25901,0.5,"Candidate duplicates, not proven duplicate conversations: free-text description and contact fields are intentionally excluded.",Inspect candidate records in CRM before deduplication.,Medium
I10_stage_spelling,Two spellings of rejection after confirmation,20,9973,0.2,"Suyash normalizes both spellings for stage groups, but timeline reversal detection searches only Confrmation.",Use a canonical stage dictionary in all metrics and timeline flags.,Medium
I11_call_outcomes_missing,Call entries have no outcome,9626,11698,82.29,"Contact-rate denominator excludes these calls, while call volume includes them.",Measure outcome completeness by agent/time and define a separate unknown-outcome category.,High
I12_call_before_creation,Call timestamp precedes quote creation,286,11698,2.44,This can distort first-response time; imports or backdated logs need checking.,Reconcile source timezone and imported quote/call timestamps.,Medium
I13_future_quotes_in_historical_basket,Historical dashboard basket includes later-created quotes,36,1629,2.21,Treat as today changes dates but does not reconstruct the historical snapshot; live_basket applies no creation-date cutoff.,Label panels as export snapshot or reconstruct as-of states before historical comparisons.,High
I14_owner_lookahead,Latest queue owner differs from owner available on 18 August,52,1218,4.27,"Historical accepted/lifecycle credit uses latest queue owner, including assignments after the selected day.",Use time-valid ownership and separate activity actor from sales owner.,High
I15_open_past_trips,Open Created/Requote quotes have trips before last quote-record date,51,645,7.91,Stale pipeline candidates as of 10 September; not proof the travel did not occur.,Review disposition and trip rescheduling; do not automatically close records.,Medium
I16_large_party_review,Passenger count exceeds empirical 99th percentile,92,9973,0.92,Review candidates above 200 pax; large groups are not inherently errors.,Compare passenger manifest and FIT/Groups classification for the largest cases.,Low
I18_future_call_dates,Call records are dated after the review date,1,11698,0.01,"These are future-dated call_info entries as of 21 September 2026, not completed historical calls.",Check whether scheduled contact was recorded as a completed call.,Medium
I19_payment_dates,Payment processing date is missing or invalid,1037,2339,44.34,"Payment-date trends are incomplete; added_on is a record timestamp, not necessarily cash receipt date.",Confirm the payment lifecycle and canonical receipt date before cash-flow reporting.,High
I20_pax_disagreement,Populated no_pax differs from adults + children + infants,1433,6575,21.79,Two passenger measures disagree; no_pax may use a different definition. Dashboard uses adults + children + infants.,Confirm whether infants/free-of-charge passengers belong in each measure before standardizing.,Medium
I21_country_case,Country uses inconsistent casing,2,9973,0.02,Raw groupings split Australia into two labels; dashboard title-case normalization already combines them.,Standardize the country dictionary upstream.,Low
I22_creation_batch,Quote creation timestamps cluster in one second,327,9973,3.28,"327 records share one second, have missing creation actors, and are exactly the only quotes with populated totals. This strongly suggests a batch/import boundary, not an organic demand spike; import provenance is unconfirmed.",Confirm migration history and preserve original creation timestamps before using October 2024 as a trend baseline.,High
I23_acceptance_audit_gap,Current accepted-family quotes lack an Accepted audit event,179,983,18.21,Current state and event history cannot be fully reconciled; the first-observed acceptance series is incomplete.,Obtain full audit history or an authoritative acceptance timestamp before measuring historical sales.,High
